date,description,amount
2026-01-01,Salary,50000
2026-01-02,Swiggy Order,-350
2026-01-03,Amazon Purchase,-1200
2026-01-04,Uber Ride,-220
2026-01-05,Flipkart Shopping,-2500
2026-01-06,Electricity Bill,-1800
2026-01-10,Zomato Order,-450
2026-01-12,Freelance Payment,8000
2026-02-01,Salary,50000
2026-02-02,Ola Ride,-300
2026-02-03,Amazon Purchase,-900
2026-02-05,Swiggy Order,-600
2026-02-08,Movie Tickets,-700
2026-02-10,Internet Bill,-1000
2026-02-15,Freelance Payment,6000
2026-03-01,Salary,50000
2026-03-02,Zomato Order,-550
2026-03-03,Uber Ride,-200
2026-03-04,Flipkart Shopping,-3200
2026-03-05,Groceries,-1500
